,gid,config
0,72527,pvwattsv5_fixed
1,72855,pvwattsv5_fixed
2,72856,pvwattsv5_fixed
3,73183,pvwattsv5_fixed
4,73184,pvwattsv5_fixed
5,73512,pvwattsv5_fixed
6,73513,pvwattsv5_fixed
7,73842,pvwattsv5_fixed
8,74181,pvwattsv5_fixed
9,76976,pvwattsv5_fixed
10,76977,pvwattsv5_fixed
11,76978,pvwattsv5_fixed
12,76979,pvwattsv5_fixed
13,77332,pvwattsv5_fixed
14,77333,pvwattsv5_fixed
15,77334,pvwattsv5_fixed
16,77689,pvwattsv5_fixed
17,77690,pvwattsv5_fixed
18,78044,pvwattsv5_fixed
19,80470,pvwattsv5_fixed
20,80471,pvwattsv5_fixed
21,80472,pvwattsv5_fixed
22,80473,pvwattsv5_fixed
23,80474,pvwattsv5_fixed
24,80475,pvwattsv5_fixed
25,80832,pvwattsv5_fixed
26,80833,pvwattsv5_fixed
27,80834,pvwattsv5_fixed
28,80835,pvwattsv5_fixed
29,80836,pvwattsv5_fixed
30,80837,pvwattsv5_fixed
31,80838,pvwattsv5_fixed
32,80839,pvwattsv5_fixed
33,80840,pvwattsv5_fixed
34,81211,pvwattsv5_fixed
35,81212,pvwattsv5_fixed
36,81213,pvwattsv5_fixed
37,81214,pvwattsv5_fixed
38,81215,pvwattsv5_fixed
39,81216,pvwattsv5_fixed
40,81217,pvwattsv5_fixed
41,81218,pvwattsv5_fixed
42,81599,pvwattsv5_fixed
43,81600,pvwattsv5_fixed
44,81601,pvwattsv5_fixed
45,81602,pvwattsv5_fixed
46,81603,pvwattsv5_fixed
47,81604,pvwattsv5_fixed
48,81605,pvwattsv5_fixed
49,81606,pvwattsv5_fixed
50,81607,pvwattsv5_fixed
51,81989,pvwattsv5_fixed
52,81990,pvwattsv5_fixed
53,81991,pvwattsv5_fixed
54,81992,pvwattsv5_fixed
55,81993,pvwattsv5_fixed
56,81994,pvwattsv5_fixed
57,81995,pvwattsv5_fixed
58,81996,pvwattsv5_fixed
59,81997,pvwattsv5_fixed
60,81998,pvwattsv5_fixed
61,82379,pvwattsv5_fixed
62,82380,pvwattsv5_fixed
63,82381,pvwattsv5_fixed
64,82382,pvwattsv5_fixed
65,82383,pvwattsv5_fixed
66,82384,pvwattsv5_fixed
67,82385,pvwattsv5_fixed
68,82386,pvwattsv5_fixed
69,82387,pvwattsv5_fixed
70,82388,pvwattsv5_fixed
71,82389,pvwattsv5_fixed
72,82390,pvwattsv5_fixed
73,82769,pvwattsv5_fixed
74,82770,pvwattsv5_fixed
75,82771,pvwattsv5_fixed
76,82772,pvwattsv5_fixed
77,82773,pvwattsv5_fixed
78,82774,pvwattsv5_fixed
79,82775,pvwattsv5_fixed
80,82776,pvwattsv5_fixed
81,82777,pvwattsv5_fixed
82,82778,pvwattsv5_fixed
83,82779,pvwattsv5_fixed
84,82780,pvwattsv5_fixed
85,82781,pvwattsv5_fixed
86,82782,pvwattsv5_fixed
87,82783,pvwattsv5_fixed
88,82784,pvwattsv5_fixed
89,82785,pvwattsv5_fixed
90,83160,pvwattsv5_fixed
91,83161,pvwattsv5_fixed
92,83162,pvwattsv5_fixed
93,83163,pvwattsv5_fixed
94,83164,pvwattsv5_fixed
95,83165,pvwattsv5_fixed
96,83166,pvwattsv5_fixed
97,83167,pvwattsv5_fixed
98,83168,pvwattsv5_fixed
99,83169,pvwattsv5_fixed
100,83170,pvwattsv5_fixed
101,83171,pvwattsv5_fixed
102,83172,pvwattsv5_fixed
103,83173,pvwattsv5_fixed
104,83174,pvwattsv5_fixed
105,83175,pvwattsv5_fixed
106,83176,pvwattsv5_fixed
107,83177,pvwattsv5_fixed
108,83539,pvwattsv5_fixed
109,83540,pvwattsv5_fixed
110,83541,pvwattsv5_fixed
111,83542,pvwattsv5_fixed
112,83543,pvwattsv5_fixed
113,83544,pvwattsv5_fixed
114,83545,pvwattsv5_fixed
115,83546,pvwattsv5_fixed
116,83547,pvwattsv5_fixed
117,83548,pvwattsv5_fixed
118,83549,pvwattsv5_fixed
119,83550,pvwattsv5_fixed
120,83551,pvwattsv5_fixed
121,83552,pvwattsv5_fixed
122,83553,pvwattsv5_fixed
123,83554,pvwattsv5_fixed
124,83555,pvwattsv5_fixed
125,83556,pvwattsv5_fixed
126,83557,pvwattsv5_fixed
127,83558,pvwattsv5_fixed
128,83559,pvwattsv5_fixed
129,83560,pvwattsv5_fixed
130,83561,pvwattsv5_fixed
131,83562,pvwattsv5_fixed
132,83563,pvwattsv5_fixed
133,83564,pvwattsv5_fixed
134,83565,pvwattsv5_fixed
135,83566,pvwattsv5_fixed
136,83567,pvwattsv5_fixed
